userid,list_id,category,list_type,title,description,source_url,list_photo,,,,,,,
AFAR,101,Travel,number,9 Places to See the Northern Lights,The Northern Lights are a natural phenomenon that makes greenish-blue light streak across the night sky in the northern part of the world—and it's pretty freaking cool. Here's where to see it.,https://www.afar.com/travel-tips/9-places-to-see-the-northern-lights,https://afar-production.imgix.net/uploads/images/post_images/images/BjcdrygRk7/original_open-uri20130827-22502-1mkry7p?1383823207?ixlib=rails-0.3.0&crop=top&fit=crop&h=300&w=400&dpr=2,,,,,,,
Travel Channel,102,Travel,number,Top 10 Beaches in America,"Whether you’re going down the shore or riding the waves in Hawaii, the beach is always a popular destination. Visit the best beaches the US has to offer.",http://www.travelchannel.com/interests/beaches/photos/top-10-beaches-in-america,http://travel.home.sndimg.com/content/dam/images/travel/fullrights/2016/06/6/1/GettyImages-461466445-Manele-Bay-Hawaii.jpg.rend.hgtvcom.966.725.jpeg,,,,,,,
Fodor’s Travel,103,Travel,number,10 Most High-Tech Cruise Ships in the World,"If you’re booking a vacation on a cruise ship, there’s a fairly good chance that staying connected to the rest of the world doesn’t top your list of priorities. Still, if you’re willing to compromise (and open your wallet), you can keep in touch with family and friends back home, and even surf the web at relatively respectable speeds. But technology at sea can impact your experience in many other ways, from robotic bartenders to state-of-the-art gaming, so even if you’re planning for an “off the grid” week-long trek, there’s plenty of high-tech fun to be had at sea. ",http://www.fodors.com/cruises/news/photos/10-most-high-tech-cruise-ships-in-the-world,http://www.fodors.com/ee/files/slideshows/10-Queen-Mary-2.jpg,,,,,,,
TimeOut Chicago,104,Food,number,Best Outdoor Bars in Chicago,"After months spent huddling around fireplaces and shivering from inevitable bar-room drafts, you deserve a drink. Outside. With the sun beaming down and margarita in hand. Our guide to the best outdoor bars, from hidden gardens to sidewalks, to enjoy during the very best season in Chicago.",https://www.timeout.com/chicago/bars/best-outdoor-bars-in-chicago-where-to-drink-outside?package_page=21101,https://media.timeout.com/images/101508107/1372/772/image.jpg,,,,,,,
Cozi,105,Food,bullet,Grocery Starter List,"A grocery starter list including produce, meat, canned foods, baking, bread, pasta, frozen foods and snacks.",http://www.cozi.com/blog/grocery-list-template/#addtocozi,http://www.cozi.com/wp-content/uploads/2015/03/groceriesoncounter.jpg,,,,,,,
TimeOut Chicago,106,Food,number,The Best Outdoor Restaurants in Chicago,"There are only so many blue sky days in a year, so don't wait to start dining on the patios, decks and gardens of these amazing Chicago restaurants. From Mexican restaurants to spots for Italian food, here's where to eat outside. ",https://www.timeout.com/chicago/restaurants/best-outdoor-restaurants-in-chicago?package_page=21101,https://media.timeout.com/images/102599349/1372/772/image.jpg,,,,,,,
Cozi,107,Food,bullet,Healthy Lunches Grocery List,The healthiest school lunches are often the simplest. Stock your cupboards with these basic foods and let your child pack lunch by picking one or two from each group.,https://www.realsimple.com/cozi/food-recipes/lunches-snacks/healthy-lunches-grocery-list,https://cdn-image.realsimple.com/sites/default/files/styles/portrait_435x518/public/182846288.jpg?itok=3A3Euh_y,,,,,,,
Festicket,108,Music,number,Top 15 Music Festivals in the U.S.,"Coachella, Burning Man, Lollapalooza and SXSW are often the first U.S. festivals that come to mind. From the celebrated favorites to a few surprises in between, here's our breakdown of the finest events in the U.S.",https://www.festicket.com/magazine/discover/top-festivals-usa/,https://media.resources.festicket.com/www/admin/uploads/images/EDCLasVegas_7jAV9nU.jpg,,,,,,,
Parents,109,Kids,number,10 Things to Do with Kids In Chicago,"Fabulous parks, zoos, and museums make this city one of the best to visit with your family.",http://www.parents.com/fun/vacation/ideas/chicago/,http://images.parents.mdpcdn.com/sites/parents.com/files/styles/width_360/public/images/550_102094709.jpg,,,,,,,
PopSugar,110,Food,number,Give the Grill a Break! 10 Crock-Pot Recipes For Your Family's Next Cookout,"While one of the great perks of Spring and Summer entertaining is access to a grill, there's something to be said for advance preparation. Whether you're hosting or attending an outdoor cookout or barbecue, go easy on yourself by eliciting the help of your Crock-Pot.",https://www.popsugar.com/moms/Crock-Pot-BBQ-Recipes-34791915,https://media1.popsugar-assets.com/files/thumbor/9dPg_DOjp9ilfSL2RwmEfP1fZBc/fit-in/1024x1024/filters:format_auto-!!-:strip_icc-!!-/2014/05/15/814/n/24155406/21d9c22ba2a58a44_178121989/i/Crock-Pot-BBQ-Recipes.jpg,,,,,,,
HuffingtonPost,111,Travel,number,The 19 Most Beautiful Places In The World Are Hidden In America,"These hidden places prove you don’t need to spend big bucks and make a transatlantic trek— the world’s most beautiful wonders have been here all along, right in your American backyard.",http://www.huffingtonpost.com/2013/10/31/most-beautiful-places_n_4173652.html,http://i.huffpost.com/gen/1432952/thumbs/o-125911926-900.jpg?1,,,,,,,
Cozi,112,Kids,bullet,Elementary School Supplies List,Get ready for the school year with this list of back to school supplies for elementary school.,http://www.cozi.com/blog/elementary-school-supplies-list/#addtocozi,http://www.cozi.com/wp-content/uploads/2015/08/pencils580.jpg,,,,,,,
TimeOut Chicago,113,Pets,number,21 Dog-Friendly Patios in Chicago,These dog-friendly patios have treats and water bowls so your pal doesn’t have to be far when you are out enjoying summer.,https://www.timeout.com/chicago/restaurants/dog-friendly-patios-in-chicago?package_page=21101,https://media.timeout.com/images/101568669/1372/772/image.jpg,,,,,,,
Cozi,114,Kids,bullet,Preschool & Kindergarten School Supplies List,Get ready for the school year with this list of back to school supplies for preschool and kindergarten.,http://www.cozi.com/blog/preschool-and-kindergarten-school-supplies-list/#addtocozi,http://www.cozi.com/wp-content/uploads/2015/12/iStock_000015672356XSmall.jpg,,,,,,,
Monster,115,Career,number,Interview Tips: 10 Tips to Improve Your Interview Performance,Do you know how to make your case to an interviewer? Follow these 10 interview tips to boost your chances of landing the job.,https://www.monster.com/career-advice/article/boost-your-interview-iq,https://media.newjobs.com/niche/images/articles/Mack/10-interview-tips.jpg,,,,,,,
Cozi,116,Travel,bullet,Vacation Packing Checklist,"Vacation is most excellent, but packing bags for the whole family is not so fun. Use this vacation packing checklist to make quick work of packing up the family so you can get on to vacation, without forgetting the toothbrush.",http://www.cozi.com/blog/vacation-packing-checklist/#addtocozi,http://www.cozi.com/wp-content/uploads/2015/11/travel.jpg,,,,,,,
Cozi,117,Home,bullet,Spring Cleaning Starter List,"Even if you stay on top of your weekly house cleaning to do list, there are always chores that get put off until one day you realize you haven’t dusted the blinds in six months or washed the comforters since you had house guests last summer. Here’s a list to get you started!",http://www.cozi.com/blog/spring-cleaning-list/#addtocozi,http://www.cozi.com/wp-content/uploads/2016/01/springwindow580.jpg,,,,,,,
